Year,MonthNo,Day,Hour,Minute,Property (groups),SumPower
2021,1,2,21,0,"SmartMeter",43145.849224927064
2021,1,2,21,15,"SmartMeter",46944.627115482566
2021,1,2,21,30,"SmartMeter",42378.9747306622
2021,1,2,21,45,"SmartMeter",47270.193959157281
2021,1,2,22,0,"SmartMeter",50537.771766541824
2021,1,2,22,15,"SmartMeter",41828.180341325162
2021,1,2,22,30,"SmartMeter",39442.803387163141
2021,1,2,22,45,"SmartMeter",48869.510738968638
2021,1,2,23,0,"SmartMeter",49325.85063362222
2021,1,2,23,15,"SmartMeter",46720.702326454986
2021,1,2,23,30,"SmartMeter",44630.63700339161
2021,1,2,23,45,"SmartMeter",37879.292744115191
2021,1,3,0,0,"SmartMeter",38672.992874790638
2021,1,3,0,15,"SmartMeter",32333.722222222223
2021,1,3,0,30,"SmartMeter",36683.3045911818
2021,1,3,0,45,"SmartMeter",35609.959202631093
2021,1,3,1,0,"SmartMeter",39356.42901374404
2021,1,3,1,15,"SmartMeter",40152.322131628142
2021,1,3,1,30,"SmartMeter",36338.0737536329
2021,1,3,1,45,"SmartMeter",29175.3568044789
2021,1,3,2,0,"SmartMeter",35463.116583959672
2021,1,3,2,15,"SmartMeter",34669.597427322988
2021,1,3,2,30,"SmartMeter",35231.305951014154
2021,1,3,2,45,"SmartMeter",26437.192088266005
2021,1,3,3,0,"SmartMeter",22218.719888500455
2021,1,3,3,15,"SmartMeter",26791.030543189292
2021,1,3,3,30,"SmartMeter",25056.462695998289
2021,1,3,3,45,"SmartMeter",27837.106443299868
2021,1,3,4,0,"SmartMeter",25785.677246567229
2021,1,3,4,15,"SmartMeter",28138.104488386231
2021,1,3,4,30,"SmartMeter",28427.112701534872
2021,1,3,4,45,"SmartMeter",25918.375172132033
2021,1,3,5,0,"SmartMeter",28834.017971801895
2021,1,3,5,15,"SmartMeter",26361.688468720826
2021,1,3,5,30,"SmartMeter",28649.418443086979
2021,1,3,5,45,"SmartMeter",29913.871200276692
2021,1,3,6,0,"SmartMeter",33149.765223665221
2021,1,3,6,15,"SmartMeter",35652.9633933229
2021,1,3,6,30,"SmartMeter",37308.057361839245
2021,1,3,6,45,"SmartMeter",38313.146285305076
2021,1,3,7,0,"SmartMeter",38427.017703419828
2021,1,3,7,15,"SmartMeter",39921.548331708611
2021,1,3,7,30,"SmartMeter",36298.285029283761
2021,1,3,7,45,"SmartMeter",33397.233657424455
2021,1,3,8,0,"SmartMeter",35723.131729381726
2021,1,3,8,15,"SmartMeter",35454.193461039555
2021,1,3,8,30,"SmartMeter",38452.20282962091
2021,1,3,8,45,"SmartMeter",36146.425686548057
2021,1,3,9,0,"SmartMeter",39092.616651001976
2021,1,3,9,15,"SmartMeter",46229.349183006532
2021,1,3,9,30,"SmartMeter",41550.520436507926
2021,1,3,9,45,"SmartMeter",50314.286250049969
2021,1,3,10,0,"SmartMeter",45950.828708091642
2021,1,3,10,15,"SmartMeter",54481.857125658906
2021,1,3,10,30,"SmartMeter",53986.262829587824
2021,1,3,10,45,"SmartMeter",47333.576079750557
2021,1,3,11,0,"SmartMeter",50310.872038312562
2021,1,3,11,15,"SmartMeter",52530.339443735393
2021,1,3,11,30,"SmartMeter",59210.558079787392
2021,1,3,11,45,"SmartMeter",52019.662080848262
2021,1,3,12,0,"SmartMeter",50296.251550161825
2021,1,3,12,15,"SmartMeter",56671.646400252386
2021,1,3,12,30,"SmartMeter",59769.921012472296
2021,1,3,12,45,"SmartMeter",61711.853420384468
2021,1,3,13,0,"SmartMeter",62903.4850129988
2021,1,3,13,15,"SmartMeter",59146.533373222206
2021,1,3,13,30,"SmartMeter",60605.57503076506
2021,1,3,13,45,"SmartMeter",64076.302191229974
2021,1,3,14,0,"SmartMeter",57083.133236901762
2021,1,3,14,15,"SmartMeter",56116.183692330247
2021,1,3,14,30,"SmartMeter",48563.563783162463
2021,1,3,14,45,"SmartMeter",48428.847813985572
2021,1,3,15,0,"SmartMeter",51851.973715610526
2021,1,3,15,15,"SmartMeter",49862.892006427472
2021,1,3,15,30,"SmartMeter",44675.98582771291
2021,1,3,15,45,"SmartMeter",46290.489326841627
2021,1,3,16,0,"SmartMeter",56307.2895703543
2021,1,3,16,15,"SmartMeter",56576.184741195953
2021,1,3,16,30,"SmartMeter",49205.0615106508
2021,1,3,16,45,"SmartMeter",55947.181547571672
2021,1,3,17,0,"SmartMeter",53894.594592097848
2021,1,3,17,15,"SmartMeter",53257.528361967241
2021,1,3,17,30,"SmartMeter",52518.358436763941
2021,1,3,17,45,"SmartMeter",42822.792042138804
2021,1,3,18,0,"SmartMeter",44385.652493143658
2021,1,3,18,15,"SmartMeter",42945.29156354614
2021,1,3,18,30,"SmartMeter",43370.540909288451
2021,1,3,18,45,"SmartMeter",45117.209972619989
2021,1,3,19,0,"SmartMeter",44827.651142490329
2021,1,3,19,15,"SmartMeter",49207.103456611483
2021,1,3,19,30,"SmartMeter",50900.667868251221
2021,1,3,19,45,"SmartMeter",48438.553097655364
2021,1,3,20,0,"SmartMeter",46149.717886180959
2021,1,3,20,15,"SmartMeter",35972.577616338218
2021,1,3,20,30,"SmartMeter",38627.341533765735
2021,1,3,20,45,"SmartMeter",36016.525381279665
2021,1,3,21,0,"SmartMeter",37512.920932242661
2021,1,3,21,15,"SmartMeter",40795.522135794243
2021,1,3,21,30,"SmartMeter",48279.889186631983
2021,1,3,21,45,"SmartMeter",46354.766845555532
2021,1,3,22,0,"SmartMeter",37849.622377479034
2021,1,3,22,15,"SmartMeter",32375.280035047337
2021,1,3,22,30,"SmartMeter",28166.70533826077
2021,1,3,22,45,"SmartMeter",30541.795598845598
2021,1,3,23,0,"SmartMeter",27351.741466866468
