Year,MonthNo,Day,Hour,Minute,Property (groups),SumPower
2021,1,7,19,30,"PV",0
2021,1,7,19,45,"PV",0
2021,1,7,20,0,"PV",0
2021,1,7,20,15,"PV",0
2021,1,7,20,30,"PV",0
2021,1,7,20,45,"PV",0
2021,1,7,21,0,"PV",0
2021,1,7,21,15,"PV",0
2021,1,7,21,30,"PV",0
2021,1,7,21,45,"PV",0
2021,1,7,22,0,"PV",0
2021,1,7,22,15,"PV",0
2021,1,7,22,30,"PV",0
2021,1,7,22,45,"PV",0
2021,1,7,23,0,"PV",0
2021,1,7,23,15,"PV",0
2021,1,7,23,30,"PV",0
2021,1,7,23,45,"PV",0
2021,1,8,0,0,"PV",0
2021,1,8,0,15,"PV",0
2021,1,8,0,30,"PV",0
2021,1,8,0,45,"PV",0
2021,1,8,1,0,"PV",0
2021,1,8,1,15,"PV",0
2021,1,8,1,30,"PV",0
2021,1,8,1,45,"PV",0
2021,1,8,2,0,"PV",0
2021,1,8,2,15,"PV",0
2021,1,8,2,30,"PV",0
2021,1,8,2,45,"PV",0
2021,1,8,3,0,"PV",0
2021,1,8,3,15,"PV",0
2021,1,8,3,30,"PV",0
2021,1,8,3,45,"PV",0
2021,1,8,4,0,"PV",0
2021,1,8,4,15,"PV",0
2021,1,8,4,30,"PV",0
2021,1,8,4,45,"PV",0
2021,1,8,5,0,"PV",0
2021,1,8,5,15,"PV",0
2021,1,8,5,30,"PV",0
2021,1,8,5,45,"PV",0
2021,1,8,6,0,"PV",0
2021,1,8,6,15,"PV",0
2021,1,8,6,30,"PV",0
2021,1,8,6,45,"PV",0
2021,1,8,7,0,"PV",0
2021,1,8,7,15,"PV",0
2021,1,8,7,30,"PV",0
2021,1,8,7,45,"PV",0
2021,1,8,8,0,"PV",0
2021,1,8,8,15,"PV",0
2021,1,8,8,30,"PV",0
2021,1,8,8,45,"PV",0
2021,1,8,9,0,"PV",0
2021,1,8,9,15,"PV",0
2021,1,8,9,30,"PV",0
2021,1,8,9,45,"PV",0
2021,1,8,10,0,"PV",0
2021,1,8,10,15,"PV",0
2021,1,8,10,30,"PV",0
2021,1,8,10,45,"PV",0
2021,1,8,11,0,"PV",0
2021,1,8,11,15,"PV",0
2021,1,8,11,30,"PV",0
2021,1,8,11,45,"PV",0
2021,1,8,12,0,"PV",0
2021,1,8,12,15,"PV",0
2021,1,8,12,30,"PV",0
2021,1,8,12,45,"PV",0
2021,1,8,13,0,"PV",0
2021,1,8,13,15,"PV",0
2021,1,8,13,30,"PV",0
2021,1,8,13,45,"PV",0
2021,1,8,14,0,"PV",0
2021,1,8,14,15,"PV",0
2021,1,8,14,30,"PV",0
2021,1,8,14,45,"PV",0
2021,1,8,15,0,"PV",0
2021,1,8,15,15,"PV",0
2021,1,8,15,30,"PV",0
2021,1,8,15,45,"PV",0
2021,1,8,16,0,"PV",0
2021,1,8,16,15,"PV",0
2021,1,8,16,30,"PV",0
2021,1,8,16,45,"PV",0
2021,1,8,17,0,"PV",0
2021,1,8,17,15,"PV",0
2021,1,8,17,30,"PV",0
2021,1,8,17,45,"PV",0
2021,1,8,18,0,"PV",0
2021,1,8,18,15,"PV",0
2021,1,8,18,30,"PV",0
2021,1,8,18,45,"PV",0
2021,1,8,19,0,"PV",0
2021,1,8,19,15,"PV",0
2021,1,8,19,30,"PV",0
2021,1,8,19,45,"PV",0
2021,1,8,20,0,"PV",0
2021,1,8,20,15,"PV",0
2021,1,8,20,30,"PV",0
2021,1,8,20,45,"PV",0
2021,1,8,21,0,"PV",0
2021,1,8,21,15,"PV",0
2021,1,8,21,30,"PV",0
2021,1,8,21,45,"PV",0
2021,1,8,22,0,"PV",0
2021,1,8,22,15,"PV",0
